Date,Team,Acquired,Relinquished,Notes
2017-02-03,Timberwolves,,Kris Dunn,right hand injury (DTD)
2017-02-03,Timberwolves,,Zach LaVine,torn ACL in left knee (out for season)
2017-02-03,Mavericks,Deron Williams,,activated from IL
2017-02-03,Mavericks,,Deron Williams,sprained right big toe (DTD)
2017-02-04,76ers,,Jahlil Okafor,knee injury (DTD)
2017-02-04,76ers,,Joel Embiid,sore left knee (out for seaon)
2017-02-04,76ers,Nerlens Noel,,returned to lineup
2017-02-04,Bucks,,Roy Hibbert,placed on IL
2017-02-04,Bucks,Rashad Vaughn,,activated from IL
2017-02-04,Bulls,,Cristiano Felicio,right leg injury (DTD)
2017-02-04,Cavaliers,,Kyrie Irving,bruised right quadriceps (DTD)
2017-02-04,Cavaliers,Kevin Love,,returned to lineup
2017-02-04,Grizzlies,,Chandler Parsons,DNP
2017-02-04,Grizzlies,,Marc Gasol,rest (DTD)
2017-02-04,Jazz,,Rodney Hood,placed on IL with right knee injury
2017-02-04,Jazz,Derrick Favors,,activated from IL
2017-02-04,Kings,,Garrett Temple,placed on IL with torn left hamstring
2017-02-04,Kings,Arron Afflalo,,returned to lineup
2017-02-04,Nuggets,,Darrell Arthur,placed on IL
2017-02-04,Pacers,,Thaddeus Young,placed on IL with sprained left wrist
2017-02-04,Pacers,Rakeem Christmas,,activated from IL
2017-02-04,Raptors,,Patrick Patterson,bruised left knee (DTD)
2017-02-04,Spurs,LaMarcus Aldridge,,activated from IL
2017-02-04,Suns,,Ronnie Price,placed on IL
2017-02-04,Suns,Jared Dudley,,activated from IL
2017-02-04,Timberwolves,,Zach LaVine,placed on IL with torn ACL in left knee (out for season)
2017-02-04,Warriors,Draymond Green,,returned to lineup
2017-02-04,Warriors,Shaun Livingston,,activated from IL
2017-02-04,Spurs,,Bryn Forbes,placed on IL
2017-02-05,Nets,,Caris LeVert,sore right knee (DTD)
2017-02-05,Thunder,Alex Abrines,,activated from IL
2017-02-05,Thunder,,Josh Huestis,placed on IL
2017-02-06,76ers,,Joel Embiid,bruised left knee (out for season)
2017-02-06,76ers,Jahlil Okafor,,returned to lineup
2017-02-06,76ers,Robert Covington,,returned to lineup
2017-02-06,Bulls,,Cristiano Felicio,placed on IL with strained lower right leg
2017-02-06,Bulls,Denzel Valentine,,activated from IL
2017-02-06,Cavaliers,Kyrie Irving,,returned to lineup
2017-02-06,Grizzlies,Chandler Parsons,,returned to lineup
2017-02-06,Grizzlies,Marc Gasol,,returned to lineup
2017-02-06,Knicks,,Joakim Noah,placed on IL with sore left hamstring
2017-02-06,Knicks,Derrick Rose,,activated from IL
2017-02-06,Lakers,,Marcelo Huertas,placed on IL
2017-02-06,Lakers,Julius Randle,,returned to lineup
2017-02-06,Lakers,Ron Artest,,activated from IL
2017-02-06,Mavericks,,Deron Williams,sprained right big toe (DTD)
2017-02-06,Mavericks,Devin Harris,,returned to lineup
2017-02-06,Nets,,Quincy Acy,sprained left ankle (DTD)
2017-02-06,Nuggets,,Emmanuel Mudiay,placed on IL with back injury
2017-02-06,Nuggets,Darrell Arthur,,activated from IL
2017-02-06,Pacers,Rodney Stuckey,,activated from IL
2017-02-06,Pistons,,Reggie Bullock,placed on IL with illness
2017-02-06,Raptors,DeMar DeRozan,,activated from IL
2017-02-06,Spurs,,Kawhi Leonard,bruised right quadriceps (DTD)
2017-02-06,Suns,,Derrick Jones Jr.,placed on IL
2017-02-06,Suns,,Dragan Bender,placed on IL with bruised right ankle
2017-02-06,Suns,Jared Dudley,,activated from IL
2017-02-06,Suns,Ronnie Price,,activated from IL
2017-02-06,Pacers,,Georges Niang,placed on IL
2017-02-06,Raptors,,Delon Wright,placed on IL
2017-02-06,Pistons,Michael Gbinije,,activated from IL
2017-02-07,Blazers,,Evan Turner,fractured right hand (out indefinitely)
2017-02-07,Mavericks,,Deron Williams,sprained right big toe (DTD)
2017-02-07,Nets,,Quincy Acy,placed on IL with sprained left ankle
2017-02-07,Nets,Chris McCullough,,activated from IL
2017-02-07,Pelicans,,Tyreke Evans,sprained left ankle (DTD)
2017-02-07,Rockets,Nene Hilario ,,returned to lineup
2017-02-08,76ers,,Richaun Holmes,upper respiratory infection (DTD)
2017-02-08,Blazers,,Evan Turner,surgery on right hand to repair fracture (out indefinitely)
2017-02-08,Bucks,,Jabari Parker,torn ACL in left knee (out for season)
2017-02-08,Bucks,,Spencer Hawes,placed on IL
2017-02-08,Bucks,Khris Middleton,,activated from IL
2017-02-08,Bulls,,Dwyane Wade,placed on IL with upper respiratory illness
2017-02-08,Bulls,Cristiano Felicio,,activated from IL
2017-02-08,Cavaliers,,Iman Shumpert,sprained left ankle (DTD)
2017-02-08,Grizzlies,,Vince Carter,rest (DTD)
2017-02-08,Grizzlies,,Zach Randolph,sore left foot (DTD)
2017-02-08,Heat,,Dion Waiters,sprained left ankle (DTD)
2017-02-08,Hornets,,Ramon Sessions,surgery on left knee to repair torn lateral meniscus (out for season)
2017-02-08,Lakers,,Ron Artest,placed on IL
2017-02-08,Lakers,Marcelo Huertas,,activated from IL
2017-02-08,Magic,,Aaron Gordon,bone bruise in right foot (DTD)
2017-02-08,Nets,Caris LeVert,,returned to lineup
2017-02-08,Nuggets,,Emmanuel Mudiay,placed on IL
2017-02-08,Pistons,Reggie Bullock,,activated from IL
2017-02-08,Spurs,Kawhi Leonard,,returned to lineup
2017-02-08,Suns,,Dragan Bender,surgery on right ankle to remove bone spur (out indefinitely)
2017-02-08,Suns,,Ronnie Price,placed on IL
2017-02-08,Suns,Derrick Jones Jr.,,activated from IL
2017-02-08,Wizards,,Markieff Morris,placed on IL with tightness in right calf
2017-02-08,Wizards,Ian Mahinmi,,activated from IL
2017-02-08,Pistons,,Michael Gbinije,placed on IL
2017-02-08,Nuggets,,Kenneth Faried,sprained right ankle (DTD)
2017-02-09,76ers,,Joel Embiid,rest (DTD)
2017-02-09,Blazers,,Evan Turner,recovering from surgery on right hand to repair fracture (out indefinitely)
2017-02-09,Bulls,,Paul Zipser,left ankle tendinitis (DTD)
2017-02-09,Hornets,,Mike Tobey,placed on IL
2017-02-09,Hornets,,Ramon Sessions,placed on IL recovering from surgery on left knee to repair torn lateral meniscus (out for season)
2017-02-09,Hornets,Cody Zeller,,activated from IL
2017-02-09,Jazz,,George Hill,sore left big toe (DTD)
2017-02-09,Kings,,Ty Lawson,adductor muscle injury / strained left hamstring (DTD)
2017-02-09,Mavericks,,Deron Williams,sprained left big toe (DTD)
2017-02-09,Rockets,,Eric Gordon,sore lower back (DTD)
2017-02-09,Rockets,,Nene Hilario ,rest / shoulder injury (DTD)
2017-02-10,Bucks,,Jabari Parker,placed on IL with torn ACL in left knee
2017-02-10,Bucks,Spencer Hawes,,activated from IL
2017-02-10,Bulls,,Paul Zipser,placed on IL with left ankle tendinitis
2017-02-10,Bulls,Dwyane Wade,,activated from IL
2017-02-10,Bulls,Jimmy Butler,,returned to lineup
2017-02-10,Grizzlies,,Chandler Parsons,rest (DTD)
2017-02-10,Grizzlies,Zach Randolph,,returned to lineup
2017-02-10,Lakers,,Marcelo Huertas,placed on IL
2017-02-10,Lakers,Thomas Robinson,,activated from IL
2017-02-10,Nuggets,,Kenneth Faried,placed on IL with sprained right ankle
2017-02-10,Pelicans,,Terrence Jones,sprained right thumb (DTD)
2017-02-10,Spurs,,Dejounte Murray,placed on IL
2017-02-10,Suns,,Derrick Jones Jr.,placed on IL
2017-02-10,Suns,Ronnie Price,,activated from IL
2017-02-10,Timberwolves,Kris Dunn,,returned to lineup
2017-02-10,Wizards,,Daniel Ochefu,placed on IL
2017-02-10,Wizards,Markieff Morris,,activated from IL
2017-02-10,Nuggets,Emmanuel Mudiay,,activated from IL
2017-02-10,Wizards,Danuel House,,returned to lineup
2017-02-10,Nuggets,,Emmanuel Mudiay,sore lower back (DTD)
2017-02-10,Spurs,Bryn Forbes,,activated from IL
2017-02-11,76ers,,Joel Embiid,bruised left knee (out for season)
2017-02-11,76ers,Richaun Holmes,,returned to lineup
2017-02-11,Bucks,,Khris Middleton,placed on IL
2017-02-11,Bucks,Roy Hibbert,,activated from IL
2017-02-11,Celtics,Demetrius Jackson,,activated from IL
2017-02-11,Hornets,,Cody Zeller,placed on IL with sore quadriceps
2017-02-11,Hornets,Mike Tobey,,activated from IL
2017-02-11,Jazz,George Hill,,returned to lineup
2017-02-11,Rockets,Nene Hilario ,,returned to lineup
2017-02-11,Suns,,Eric Bledsoe,placed on IL for rest
2017-02-11,Suns,,Tyson Chandler,placed on IL with sprained right ankle
2017-02-11,Suns,Derrick Jones Jr.,,activated from IL
2017-02-12,Bulls,,Dwyane Wade,bruised right wrist (DTD)
2017-02-12,Bulls,,Jimmy Butler,bruised right heel (DTD)
2017-02-12,Bulls,,Nikola Mirotic,back spasms (DTD)
2017-02-12,Cavaliers,,Kevin Love,left knee injury (DTD)
2017-02-12,Knicks,,Maurice N'dour,placed on IL
2017-02-12,Knicks,Lance Thomas,,activated from IL
2017-02-12,Pelicans,Tyreke Evans,,returned to lineup
2017-02-12,Raptors,,Patrick Patterson,placed on IL with bruised left knee
2017-02-12,Raptors,Delon Wright,,activated from IL
2017-02-12,Spurs,,Jonathon Simmons,placed on IL with illness
2017-02-12,Spurs,Dejounte Murray,,activated from IL
2017-02-13,Blazers,,Evan Turner,placed on IL recovering from surgery on right hand to repair fracture
2017-02-13,Bucks,,Roy Hibbert,placed on IL
2017-02-13,Bucks,Khris Middleton,,activated from IL
2017-02-13,Celtics,,Chris Wilcox,placed on IL with left Achilles tendinitis
2017-02-13,Celtics,,Jaylen Brown,placed on IL with strained right hip flexor
2017-02-13,Grizzlies,,Tony Allen,rest (DTD)
2017-02-13,Grizzlies,Chandler Parsons,,returned to lineup
2017-02-13,Heat,Dion Waiters,,returned to lineup
2017-02-13,Magic,Aaron Gordon,,returned to lineup
2017-02-13,Nuggets,,Darrell Arthur,sore left knee (DTD)
2017-02-13,Nuggets,,Wilson Chandler,illness (DTD)
2017-02-13,Pacers,,Lavoy Allen,sore right knee (DTD)
2017-02-13,Pacers,,Rakeem Christmas,placed on IL
2017-02-13,Pacers,Georges Niang,,activated from IL
2017-02-13,Spurs,,Bryn Forbes,placed on IL
2017-02-13,Spurs,Jonathon Simmons,,activated from IL
2017-02-13,Suns,,Ronnie Price,placed on IL
2017-02-13,Suns,Eric Bledsoe,,activated from IL
2017-02-13,Suns,Tyson Chandler,,activated from IL
2017-02-13,Warriors,,Klay Thompson,sore right heel (DTD)
2017-02-13,Magic,Stephen Zimmerman Jr.,,activated from IL
2017-02-13,Blazers,Tim Quarterman,,activated from IL
2017-02-13,Hornets,Chris Andersen,,activated from IL
2017-02-14,Blazers,,Al-Farouq Aminu,sprained left knee (DTD)
2017-02-14,Bulls,Jimmy Butler,,returned to lineup
2017-02-14,Cavaliers,,Kevin Love,placed on IL with recovering from arthroscopic surgery on left knee to remove loose body
2017-02-14,Cavaliers,Iman Shumpert,,returned to lineup
2017-02-14,Hornets,,Miles Plumlee,strained right calf (DTD)
2017-02-14,Lakers,,Thomas Robinson,placed on IL
2017-02-14,Lakers,Marcelo Huertas,,activated from IL
2017-02-14,Raptors,Patrick Patterson,,activated from IL
2017-02-15,Bucks,,Jabari Parker,surgery on left knee to repair torn ACL (out for season)
2017-02-15,Grizzlies,Tony Allen,,returned to lineup
2017-02-15,Kings,,Ty Lawson,strained left adductor muscle (DTD)
2017-02-15,Knicks,,Brandon Jennings,placed on IL with sore left Achilles
2017-02-15,Knicks,Maurice N'dour,,activated from IL
2017-02-15,Magic,,C.J. Watson,sore right Achilles (DTD)
2017-02-15,Mavericks,Andrew Bogut,,activated from IL
2017-02-15,Pacers,,Lavoy Allen,placed on IL with sore right knee
2017-02-15,Pelicans,,Terrence Jones,placed on IL with sprained right thumb
2017-02-15,Raptors,,Patrick Patterson,placed on IL with bruised left knee
2017-02-15,Raptors,,Serge Ibaka,placed on IL
2017-02-15,Rockets,Eric Gordon,,returned to lineup
2017-02-15,Spurs,,Manu Ginobili,left ankle impingement (DTD)
2017-02-15,Timberwolves,,Lance Stephenson,sprained left ankle (DTD)
2017-02-15,Warriors,Klay Thompson,,returned to lineup
2017-02-15,Grizzlies,Jarell Martin,,activated from IL
2017-02-15,Pacers,Rakeem Christmas,,activated from IL
2017-02-15,Grizzlies,,Deyonta Davis,placed on IL
2017-02-15,Pelicans,Cheick Diallo,,activated from IL
2017-02-15,Raptors,Bruno Caboclo,,activated from IL
2017-02-16,Bulls,,Dwyane Wade,placed on IL with illness
2017-02-16,Bulls,,Paul Zipser,left ankle tendinitis (DTD)
2017-02-16,Bulls,Nikola Mirotic,,returned to lineup
2017-02-16,Bulls,Paul Zipser,,activated from IL
2017-02-16,Kings,,Malachi Richardson,torn right hamstring (DTD)
2017-02-16,Pacers,Rakeem Christmas,,activated from IL
2017-02-22,Pelicans,,Omer Asik,illness (DTD)
2017-02-23,Celtics,Chris Wilcox,,activated from IL
2017-02-23,Clippers,,Diamond Stone,placed on IL with left knee injury
2017-02-23,Clippers,Brice Johnson,,activated from IL
2017-02-23,Kings,,Arron Afflalo,sore left hamstring (DTD)
2017-02-23,Kings,Ty Lawson,,returned to lineup
2017-02-23,Knicks,,Kristaps Porzingis,sprained right ankle (DTD)
2017-02-23,Knicks,Brandon Jennings,,activated from IL
2017-02-23,Nuggets,,Malik Beasley,placed on IL
2017-02-23,Nuggets,Danilo Gallinari,,activated from IL
2017-02-23,Nuggets,Darrell Arthur,,returned to lineup
2017-02-23,Nuggets,Emmanuel Mudiay,,returned to lineup
2017-02-23,Nuggets,Kenneth Faried,,activated from IL
2017-02-23,Nuggets,Wilson Chandler,,returned to lineup
2017-02-23,Pistons,,Beno Udrih,ankle injury (DTD)
2017-02-23,Warriors,,Damian Jones,placed on IL
2017-02-23,Warriors,,Kevon Looney,placed on IL
2017-02-23,Warriors,David West,,activated from IL
2017-02-23,Warriors,Zaza Pachulia,,activated from IL
2017-02-23,Magic,,C.J. Watson,Achilles injury (DTD)
2017-02-23,Pelicans,Omri Casspi,,activated from IL
2017-02-23,Pelicans,Terrence Jones,,activated from IL
2017-02-23,Knicks,,Marshall Plumlee,placed on IL
2017-02-23,Magic,,C.J. Watson,placed on IL with Achilles injury
2017-02-23,Pelicans,,Omri Casspi,fractured right thumb (out indefinitely)
2017-02-24,Bulls,,Cameron Payne,placed on IL with flu
2017-02-24,Bulls,,Paul Zipser,placed on IL with left ankle tendinitis
2017-02-24,Bulls,Dwyane Wade,,returned to lineup
2017-02-24,Bulls,Dwyane Wade,,activated from IL
2017-02-24,Celtics,,Gerald Green ,placed on IL with bruised left heel
2017-02-24,Celtics,Jaylen Brown,,activated from IL
2017-02-24,Clippers,,Diamond Stone,left knee injury (DTD)
2017-02-24,Clippers,,Wes Johnson,placed on IL
2017-02-24,Clippers,Chris Paul,,activated from IL
2017-02-24,Hawks,Thabo Sefolosha,,activated from IL
2017-02-24,Heat,Josh Richardson,,returned to lineup
2017-02-24,Jazz,,Raul Neto,placed on IL
2017-02-24,Jazz,Rodney Hood,,activated from IL
2017-02-24,Lakers,,Tyler Ennis,placed on IL
2017-02-24,Lakers,Thomas Robinson,,activated from IL
2017-02-24,Mavericks,A.J. Hammons,,"""activated"""
2017-02-24,Nets,,K.J. McDaniels,placed on IL
2017-02-24,Nets,Jeremy Lin,,activated from IL
2017-02-24,Nuggets,,Roy Hibbert,placed on IL
2017-02-24,Pacers,,Al Jefferson,placed on IL with dental ailment
2017-02-24,Pacers,,Georges Niang,placed on IL
2017-02-24,Pacers,Lavoy Allen,,activated from IL
2017-02-24,Pacers,Thaddeus Young,,activated from IL
2017-02-24,Raptors,,Kyle Lowry,placed on IL with sore right wrist
2017-02-24,Raptors,Patrick Patterson,,activated from IL
2017-02-24,Spurs,,Joel Anthony,placed on IL
2017-02-24,Spurs,Pau Gasol,,activated from IL
2017-02-24,Thunder,,Victor Oladipo,placed on IL with back spasms
2017-02-24,Thunder,Enes Kanter,,activated from IL
2017-02-24,Thunder,Josh Huestis,,activated from IL
2017-02-24,Wizards,,Chris McCullough,placed on IL
2017-02-24,Wizards,Daniel Ochefu,,activated from IL
2017-02-24,Hawks,,Ryan Kelly,placed on IL
2017-02-25,Bulls,,Michael Carter-Williams,placed on IL with patellar tendinitis in knee
2017-02-25,Bulls,Cameron Payne,,activated from IL
2017-02-25,Cavaliers,,LeBron James,illness (DTD)
2017-02-25,Celtics,Chris Wilcox,,returned to lineup
2017-02-25,Hawks,,Lamar Patterson,placed on IL
2017-02-25,Knicks,,Kristaps Porzingis,placed on IL with sprained right ankle
2017-02-25,Knicks,Marshall Plumlee,,activated from IL
2017-02-25,Nets,,Caris LeVert,placed on IL with illness
2017-02-25,Nets,K.J. McDaniels,,activated from IL
2017-02-25,Pelicans,,Omer Asik,placed on IL with illness
2017-02-25,Warriors,,Kevin Durant,placed on IL with bruised left hand
2017-02-25,Warriors,Kevon Looney,,activated from IL
2017-02-26,Blazers,Al-Farouq Aminu,,returned to lineup
2017-02-26,Bucks,,Axel Toupane,placed on IL
2017-02-26,Heat,,Willie Reed,bursitis in right ankle / strained calf (DTD)
2017-02-26,Lakers,,Jose Calderon,placed on IL
2017-02-26,Lakers,Tyler Ennis,,activated from IL
2017-02-26,Nuggets,,Kenneth Faried,placed on IL with sore lower back / back spasms
2017-02-26,Nuggets,Roy Hibbert,,activated from IL
2017-02-26,Pelicans,E'Twaun Moore,,returned to lineup
2017-02-27,Bucks,,Khris Middleton,placed on IL
2017-02-27,Bucks,Axel Toupane,,activated from IL
2017-02-27,Cavaliers,LeBron James,,returned to lineup
2017-02-27,Celtics,,Demetrius Jackson,placed on IL
2017-02-27,Celtics,Avery Bradley,,activated from IL
2017-02-27,Hawks,,Mike Dunleavy Jr.,placed on IL with sore right ankle
2017-02-27,Hawks,Lamar Patterson,,activated from IL
2017-02-27,Hawks,Ryan Kelly,,activated from IL
2017-02-27,Knicks,,Joakim Noah,arthrosopic surgery on left knee to remove loose body (out for season)
2017-02-27,Mavericks,,A.J. Hammons,placed on IL
2017-02-27,Raptors,,Kyle Lowry,surgery on right wrist to remove loose bodies (out indefinitely) (date approximate)
2017-02-27,Warriors,Kevin Durant,,activated from IL
2017-02-28,Bucks,,Michael Beasley,hyperextended / sprained left knee (DTD)
2017-02-28,Hornets,,Miles Plumlee,placed on IL with strained right calf
2017-02-28,Hornets,Cody Zeller,,activated from IL
2017-02-28,Lakers,,Thomas Robinson,placed on IL with flu
2017-02-28,Mavericks,,Wes Matthews Jr.,right hip injury (DTD)
2017-02-28,Nets,Caris LeVert,,activated from IL
2017-02-28,Pistons,,Darrun Hilliard,placed on IL with back spasms
2017-02-28,Pistons,Michael Gbinije,,activated from IL
2017-02-28,Thunder,,Josh Huestis,placed on IL
2017-02-28,Thunder,Victor Oladipo,,activated from IL
2017-03-01,76ers,,Joel Embiid,placed on IL with torn meniscus in left knee (out for season)
2017-03-01,Blazers,,Ed Davis ,arthroscopic surgery on left shoulder to repair injured labrum (out for season)
2017-03-01,Bucks,,Michael Beasley,placed on IL with hyperextended left knee
2017-03-01,Bucks,Khris Middleton,,activated from IL
2017-03-01,Cavaliers,,Kay Felder,placed on IL
2017-03-01,Jazz,,Rodney Hood,placed on IL with sore right knee
2017-03-01,Jazz,Raul Neto,,activated from IL
2017-03-01,Kings,,Malachi Richardson,placed on IL with torn right hamstring
2017-03-01,Kings,Arron Afflalo,,returned to lineup
2017-03-01,Knicks,,Willy Hernangomez,placed on IL with ankle injury
2017-03-01,Knicks,,Maurice N'dour,sprained right ankle (out indefinitely)
2017-03-01,Knicks,Kristaps Porzingis,,activated from IL
2017-03-01,Mavericks,,Wes Matthews Jr.,placed on IL with right hip injury
2017-03-01,Mavericks,A.J. Hammons,,activated from IL
2017-03-01,Nets,,Andrew Nicholson,placed on IL
2017-03-01,Nets,Quincy Acy,,activated from IL
2017-03-01,Nuggets,,Jameer Nelson,illness (DTD)
2017-03-01,Pacers,,Thaddeus Young,placed on IL
2017-03-01,Pacers,Al Jefferson,,activated from IL
2017-03-01,Rockets,,Isaiah Taylor,placed on IL
2017-03-01,Spurs,, Tony Parker,placed on IL with bruised quadriceps / sore knee (DTD)
2017-03-01,Spurs,Joel Anthony,,activated from IL
2017-03-01,Warriors,,Kevin Durant,sprained MCL in left knee (out indefinitely)
2017-03-01,Wizards,Chris McCullough,,activated from IL
