Rank,Name,Cause_of_Death,Date,Year,Month,Day,Department,State,K9_Unit
Lieutenant,"Frank Rankin, Jr.",Drowned,"Saturday, January 30, 1960",1960,January,Saturday,"California Department of Corrections and Rehabilitation, CA",California,0
Sergeant,Frank Edward Dolan,Automobile crash,"Friday, February 12, 1960",1960,February,Friday,"Corpus Christi Police Department, TX",Texas,0
Officer,Benjamin Pope Myrick,Motorcycle crash,"Saturday, February 13, 1960",1960,February,Saturday,"Norfolk Police Department, VA",Virginia,0
Reserve Deputy,Billy R. Heckle,Gunfire,"Monday, February 15, 1960",1960,February,Monday,"San Bernardino County Sheriff's Department, CA",California,0
Officer,Crit Edmond Hall,Heart attack,"Thursday, February 18, 1960",1960,February,Thursday,"Saint Albans Police Department, WV",West Virginia,0
Officer,Richard D. Duvall,Gunfire,"Tuesday, February 23, 1960",1960,February,Tuesday,"California Highway Patrol, CA",California,0
Officer,Norman J. Bretz,Automobile crash,"Tuesday, February 23, 1960",1960,February,Tuesday,"Indiana State Excise Police, IN",Indiana,0
Deputy Sheriff,Roy M. Trimm,Explosion,"Saturday, February 27, 1960",1960,February,Saturday,"Mecklenburg County Sheriff's Office, VA",Virginia,0
Police Officer,Gonzalo Q. Gonzalez,Automobile crash,"Sunday, February 28, 1960",1960,February,Sunday,"Houston Police Department, TX",Texas,0
Special Agent,Lee E. Murrow,Automobile crash,"Thursday, March 3, 1960",1960,March,Thursday,"United States Department of Justice - Federal Bureau of Investigation, US",United States,0
Patrolman,"Anton Valentine Lehr, Jr.",Exposure to toxins,"Monday, March 7, 1960",1960,March,Monday,"New York City Police Department, NY",New York,0
Patrolman,Dennis J. Laughlin,Heart attack,"Wednesday, March 9, 1960",1960,March,Wednesday,"Chicago Police Department, IL",Illinois,0
Park Ranger,John C. Fonda,Drowned,"Wednesday, March 9, 1960",1960,March,Wednesday,"United States Department of the Interior - National Park Service, US",United States,0
District Ranger,Gale H. Wilcox,Hypothermia,"Wednesday, March 9, 1960",1960,March,Wednesday,"United States Department of the Interior - National Park Service, US",United States,0
Game Warden,Francis Edward Red Lindsay,Gunfire,"Thursday, March 10, 1960",1960,March,Thursday,"Virginia Department of Wildlife Resources, VA",Virginia,0
Investigative,Aide John P. McAuliffe,Gunfire,"Monday, March 14, 1960",1960,March,Monday,"United States Postal Inspection Service, US",United States,0
Investigative,Aide Benedetto M. Spizzirri,Gunfire,"Monday, March 14, 1960",1960,March,Monday,"United States Postal Inspection Service, US",United States,0
Sergeant,John W. Griffin,Fall,"Monday, March 14, 1960",1960,March,Monday,"Venice Police Department, IL",Illinois,0
Officer,Robert D. Dale,Motorcycle crash,"Wednesday, March 16, 1960",1960,March,Wednesday,"California Highway Patrol, CA",California,0
Marshal,John Welton Rice,Heart attack,"Saturday, March 19, 1960",1960,March,Saturday,"Forks Police Department, WA",Washington,0
Officer,Floyd A. Weatherholt,Gunfire,"Friday, March 25, 1960",1960,March,Friday,"Akron Police Department, OH",Ohio,0
Guard,George Garceau,Assault,"Monday, March 28, 1960",1960,March,Monday,"Hillsborough County Department of Corrections, NH",New Hampshire,0
Patrolman,"Orville Chancy Trinkle, Jr.",Vehicle pursuit,"Tuesday, March 29, 1960",1960,March,Tuesday,"Louisville Police Department, KY",Kentucky,0
Patrolman,Vito Michael Valenzano,Heart attack,"Sunday, April 10, 1960",1960,April,Sunday,"New York City Police Department, NY",New York,0
Chief of Police,"Dennis Titla, Sr.",Gunfire,"Tuesday, April 12, 1960",1960,April,Tuesday,"San Carlos Apache Tribal Police Department, TR",United States,0
Police Officer,William Duross,Heart attack,"Friday, April 15, 1960",1960,April,Friday,"Philadelphia Police Department, PA",Pennsylvania,0
Border Patrol Inspector,Archie L. Jennings,Struck by vehicle,"Saturday, April 16, 1960",1960,April,Saturday,"United States Department of Justice - Immigration and Naturalization Service - United States Border Patrol, US",United States,0
Officer,Terrell M. Dodson,Vehicle pursuit,"Sunday, April 17, 1960",1960,April,Sunday,"Metropolitan Police Department, DC",District of Columbia,0
Patrolman,John J. Nolan,Heart attack,"Sunday, April 17, 1960",1960,April,Sunday,"Suffolk County Police Department, NY",New York,0
Constable,John T. Martin,Gunfire,"Tuesday, April 19, 1960",1960,April,Tuesday,"Carnegie Police Department, OK",Oklahoma,0
Officer,Ernest Charles Register,Motorcycle crash,"Wednesday, April 20, 1960",1960,April,Wednesday,"Jacksonville Police Department, FL",Florida,0
Patrolman,George J. Woerhle,Gunfire,"Friday, April 22, 1960",1960,April,Friday,"Stockton Police Department, CA",California,0
Sheriff,James Vardman Polk,Gunfire,"Friday, April 22, 1960",1960,April,Friday,"Marion County Sheriff's Department, MS",Mississippi,0
Corrections Employee,Bernard Fancher,Stabbed,"Thursday, April 28, 1960",1960,April,Thursday,"Michigan Department of Corrections, MI",Michigan,0
Patrolman,Leonard F. Baldy,Aircraft accident,"Monday, May 2, 1960",1960,May,Monday,"Chicago Police Department, IL",Illinois,0
Sheriff,Leo E. Church,Automobile crash,"Monday, May 2, 1960",1960,May,Monday,"Jefferson County Sheriff's Department, MO",Missouri,0
Police Officer,Paul Clark,Struck by vehicle,"Tuesday, May 3, 1960",1960,May,Tuesday,"Battle Creek City Police Department, MI",Michigan,0
Patrolman,"Joseph E. Chapman, Jr.",Gunfire,"Sunday, May 8, 1960",1960,May,Sunday,"Chicago Police Department, IL",Illinois,0
Patrolman,Herman Paul Marshall,Automobile crash,"Tuesday, May 17, 1960",1960,May,Tuesday,"Texas Department of Public Safety - Texas Highway Patrol, TX",Texas,0
Police Officer,"James E. Meeks, Jr.",Gunfire,"Friday, May 20, 1960",1960,May,Friday,"Detroit Police Department, MI",Michigan,0
Police Officer,Johnny Reed Annas,Gunfire,"Saturday, May 21, 1960",1960,May,Saturday,"Charlotte Police Department, NC",North Carolina,0
Patrolman,"Delmar Whitworth, Sr.",Automobile crash,"Tuesday, May 24, 1960",1960,May,Tuesday,"Jefferson County Police Department, KY",Kentucky,0
Sergeant,"Carl Ellis Mayo, Jr.",Motorcycle crash,"Sunday, May 29, 1960",1960,May,Sunday,"New Bern Police Department, NC",North Carolina,0
Deputy Sheriff,Jonathan Elkanah Caney Boyd,Gunfire,"Sunday, May 29, 1960",1960,May,Sunday,"Russell County Sheriff's Office, VA",Virginia,0
Patrolman,"William J. Ramos, Jr.",Gunfire,"Tuesday, June 14, 1960",1960,June,Tuesday,"New York City Police Department, NY",New York,0
Deputy Sheriff,Jack R. Ellwanger,Vehicular assault,"Wednesday, June 15, 1960",1960,June,Wednesday,"Franklin County Sheriff's Office, OH",Ohio,0
Constable,Wilson Charles Buffington,Gunfire,"Thursday, June 16, 1960",1960,June,Thursday,"Simpson County Constable's Office, MS",Mississippi,0
Police Officer,Vernon J. Owings,Gunfire,"Friday, June 24, 1960",1960,June,Friday,"Long Beach Police Department, CA",California,0
Lieutenant,John William Hood,Vehicular assault,"Saturday, June 25, 1960",1960,June,Saturday,"Cobb County Police Department, GA",Georgia,0
Sheriff,Max L. Taylor,Struck by vehicle,"Thursday, June 30, 1960",1960,June,Thursday,"Bowman County Sheriff's Office, ND",North Dakota,0
Trooper,George Dee Rees,Vehicular assault,"Saturday, July 2, 1960",1960,July,Saturday,"Utah Highway Patrol, UT",Utah,0
City Marshal,Kenneth Robert Baker,Automobile crash,"Tuesday, July 5, 1960",1960,July,Tuesday,"Glendale Police Department, CO",Colorado,0
Police Officer,David D. Troy,Gunfire,"Thursday, July 7, 1960",1960,July,Thursday,"Stamford Police Department, CT",Connecticut,0
Patrolman,George O. Angeli,Vehicular assault,"Friday, July 8, 1960",1960,July,Friday,"North Adams Police Department, MA",Massachusetts,0
Police Officer,Howard Eugene Waldrop,Gunfire,"Saturday, July 9, 1960",1960,July,Saturday,"Buford Police Department, GA",Georgia,0
Sergeant,Marcelo Cacho-Pares,Automobile crash,"Saturday, July 9, 1960",1960,July,Saturday,"Puerto Rico Police Department, PR",Puerto Rico,0
Policeman,Luis E. Santiago-Quinonez,Gunfire,"Saturday, July 9, 1960",1960,July,Saturday,"Puerto Rico Police Department, PR",Puerto Rico,0
Patrolman,John Lebed,Gunfire,"Sunday, July 10, 1960",1960,July,Sunday,"Franklin Township (Somerset County) Police Department, NJ",New Jersey,0
Patrolman,George Dunham,Gunfire,"Sunday, July 10, 1960",1960,July,Sunday,"Franklin Township (Somerset County) Police Department, NJ",New Jersey,0
Trooper,Michael Theodore Angelos,Vehicle pursuit,"Wednesday, July 13, 1960",1960,July,Wednesday,"Illinois State Police, IL",Illinois,0
Captain,Nathan Norman Bear,Gunfire (Inadvertent),"Thursday, July 14, 1960",1960,July,Thursday,"United States Department of the Interior - Bureau of Indian Affairs - Division of Law Enforcement, US",United States,0
Patrolman,Herbert E. Bybee,Drowned,"Friday, July 15, 1960",1960,July,Friday,"Kansas City Police Department, MO",Missouri,0
Sergeant,Kieffer C. Burris,Drowned,"Friday, July 15, 1960",1960,July,Friday,"Kansas City Police Department, MO",Missouri,0
Patrolman,Melvin L. Gossmeyer,Vehicle pursuit,"Sunday, July 17, 1960",1960,July,Sunday,"Chicago Police Department, IL",Illinois,0
Deputy Sheriff,Horace C. Pot Hall,Gunfire,"Wednesday, July 20, 1960",1960,July,Wednesday,"Mobile County Sheriff's Office, AL",Alabama,0
Correctional Officer,Kermit Dale Jackson,Gunfire (Inadvertent),"Thursday, July 21, 1960",1960,July,Thursday,"North Carolina Department of Public Safety - Division of Adult Correction and Juvenile Justice, NC",North Carolina,0
Captain,John Langlinais,Gunfire,"Friday, July 22, 1960",1960,July,Friday,"Lafayette Police Department, LA",Louisiana,0
Deputy Sheriff,Solomon David Sam Bocash,Struck by vehicle,"Sunday, July 24, 1960",1960,July,Sunday,"Franklin County Sheriff's Office, VT",Vermont,0
Patrolman,Joe F. Partin,Motorcycle crash,"Monday, July 25, 1960",1960,July,Monday,"Alabama Department of Public Safety, AL",Alabama,0
Officer,Doris Wayne Barber,Gunfire,"Thursday, July 28, 1960",1960,July,Thursday,"Sitka Police Department, AK",Alaska,0
Deputy Sheriff,Benjamin G. DeVault,Gunfire,"Monday, August 1, 1960",1960,August,Monday,"Union County Sheriff's Office, TN",Tennessee,0
Trooper,Francis Michael Tessitore,Struck by vehicle,"Friday, August 5, 1960",1960,August,Friday,"Pennsylvania State Police, PA",Pennsylvania,0
Patrolman,Robert H. Pickwick,Automobile crash,"Saturday, August 6, 1960",1960,August,Saturday,"Nassau County Police Department, NY",New York,0
Deputy Sheriff,David Arron Jones,Gunfire,"Thursday, August 11, 1960",1960,August,Thursday,"Maverick County Sheriff's Department, TX",Texas,0
Police Officer,Roy Edward James,Gunfire,"Saturday, August 13, 1960",1960,August,Saturday,"Moultrie Police Department, GA",Georgia,0
Patrolman,Robert E. Lee,Automobile crash,"Tuesday, August 16, 1960",1960,August,Tuesday,"New Mexico State Police, NM",New Mexico,0
Patrolman,Francis Bradley,Motorcycle crash,"Tuesday, August 16, 1960",1960,August,Tuesday,"Westchester County Parkway Police Department, NY",New York,0
Deputy U.S. Marshal,Fax Brooks Murphy,Automobile crash,"Wednesday, August 17, 1960",1960,August,Wednesday,"United States Department of Justice - United States Marshals Service, US",United States,0
Reserve Deputy Sheriff,Bryce N. Patton,Gunfire,"Friday, August 19, 1960",1960,August,Friday,"Ventura County Sheriff's Office, CA",California,0
Deputy Sheriff,Donald E. Knowlton,Gunfire,"Monday, August 22, 1960",1960,August,Monday,"Harris County Sheriff's Office, TX",Texas,0
Deputy Sheriff,Frank J. Jackson,Automobile crash,"Friday, August 26, 1960",1960,August,Friday,"Adams County Sheriff's Office, CO",Colorado,0
Deputy Sheriff,Samuel Raymond Beall,Automobile crash,"Saturday, August 27, 1960",1960,August,Saturday,"San Patricio County Sheriff's Office, TX",Texas,0
Deputy Sheriff,Elmer Marion Okie Parmer,Electrocuted,"Sunday, August 28, 1960",1960,August,Sunday,"Leavenworth County Sheriff's Office, KS",Kansas,0
Sergeant,Gordon C. James,Automobile crash,"Tuesday, August 30, 1960",1960,August,Tuesday,"Navajo Division of Public Safety, TR",United States,0
Patrolman,Lawrence W. Gorman,Gunfire,"Saturday, September 3, 1960",1960,September,Saturday,"Cambridge Police Department, MA",Massachusetts,0
Policeman,Virgilio Sanchez-Pinzon,Stabbed,"Saturday, September 3, 1960",1960,September,Saturday,"Puerto Rico Police Department, PR",Puerto Rico,0
Patrolman,Robert E. Miller,Motorcycle crash,"Sunday, September 4, 1960",1960,September,Sunday,"LaGrange Park Police Department, IL",Illinois,0
Investigator,Eugene Wilder Campbell,Automobile crash,"Thursday, September 8, 1960",1960,September,Thursday,"United States Department of the Treasury - Internal Revenue Service - Alcohol and Tobacco Tax Division, US",United States,0
Deputy Sheriff,Cleatus L. Phillips,Gunfire,"Monday, September 12, 1960",1960,September,Monday,"New Madrid County Sheriff's Office, MO",Missouri,0
Patrolman,Mahlon M. Parks,Vehicle pursuit,"Monday, September 19, 1960",1960,September,Monday,"Goldsboro Police Department, NC",North Carolina,0
Lieutenant,C. Frank Faircloth,Vehicle pursuit,"Monday, September 19, 1960",1960,September,Monday,"Goldsboro Police Department, NC",North Carolina,0
Captain,James Edward Clark,Struck by train,"Monday, September 19, 1960",1960,September,Monday,"New Mexico State Police, NM",New Mexico,0
City Marshal,Arthur S. Todd,Gunfire,"Wednesday, September 21, 1960",1960,September,Wednesday,"Coolidge Police Department, TX",Texas,0
Police Officer,John W. Lyle,Gunfire,"Thursday, September 22, 1960",1960,September,Thursday,"Menlo Park Police Department, CA",California,0
Patrolman,Curtis McDonald Hubbard,Gunfire (Inadvertent),"Saturday, September 24, 1960",1960,September,Saturday,"Libertyville Police Department, IL",Illinois,0
Patrolman,H. Dan Rolison,Gunfire,"Sunday, September 25, 1960",1960,September,Sunday,"Savannah Police Department, GA",Georgia,0
Trooper,Donald A. Strand,Automobile crash,"Wednesday, September 28, 1960",1960,September,Wednesday,"New York State Police, NY",New York,0
Detective,Martin Mrugacz,Automobile crash,"Thursday, September 29, 1960",1960,September,Thursday,"Cleveland Division of Police, OH",Ohio,0
Patrolman,Ralph B. Thomas,Accidental,"Sunday, October 2, 1960",1960,October,Sunday,"Homewood Police Department, AL",Alabama,0
Detective,Philip J. Curtin,Fall,"Sunday, October 2, 1960",1960,October,Sunday,"New York City Police Department, NY",New York,0
Deputy Sheriff,Kirk L. Schroeder,Automobile crash,"Friday, October 7, 1960",1960,October,Friday,"McHenry County Sheriff's Office, IL",Illinois,0
Patrolman,"Frank Bruno, Jr.",Gunfire,"Friday, October 7, 1960",1960,October,Friday,"Memphis Police Department, TN",Tennessee,0
Police Officer,Joseph H. Platt,Heart attack,"Monday, October 10, 1960",1960,October,Monday,"Northumberland Police Department, NH",New Hampshire,0
Reserve Deputy Sheriff,Lee E. Sawyer,Automobile crash,"Friday, October 14, 1960",1960,October,Friday,"Los Angeles County Sheriff's Department, CA",California,0
Sheriff,Seth Forsgren Wright,Aircraft accident,"Friday, October 14, 1960",1960,October,Friday,"San Juan County Sheriff's Department, UT",Utah,0
Police Officer,Joseph John McLaughlin,Accidental,"Friday, October 14, 1960",1960,October,Friday,"Philadelphia Police Department, PA",Pennsylvania,0
Correctional Officer,William W. Latimer,Assault,"Saturday, October 15, 1960",1960,October,Saturday,"United States Department of Justice - Federal Bureau of Prisons, US",United States,0
Patrolman,David Baxter Searcy,Automobile crash,"Saturday, October 15, 1960",1960,October,Saturday,"North Carolina Highway Patrol, NC",North Carolina,0
Police Chief,Julius Paul Cruze,Gunfire,"Saturday, October 15, 1960",1960,October,Saturday,"Lake City Police Department, TN",Tennessee,0
Sergeant,James H. Marshall,Heart attack,"Friday, October 21, 1960",1960,October,Friday,"Massachusetts State Police, MA",Massachusetts,0
Patrolman,William A. Flowers,Gunfire,"Wednesday, October 26, 1960",1960,October,Wednesday,"Chicago Police Department, IL",Illinois,0
Trooper,James W. Lambert,Struck by vehicle,"Saturday, October 29, 1960",1960,October,Saturday,"Connecticut State Police, CT",Connecticut,0
Officer,David L. Kohler,Motorcycle crash,"Wednesday, November 2, 1960",1960,November,Wednesday,"Santa Monica Police Department, CA",California,0
Officer,William Pitois,Motorcycle crash,"Friday, November 4, 1960",1960,November,Friday,"California Highway Patrol, CA",California,0
Deputy Sheriff,Orville McNish,Gunfire,"Monday, November 7, 1960",1960,November,Monday,"Washington County Sheriff's Office, VA",Virginia,0
Officer,Hoyle W. Dye,Gunfire,"Wednesday, November 9, 1960",1960,November,Wednesday,"Atlanta Police Department, GA",Georgia,0
Game Warden,John C. Thompson,Heart attack,"Thursday, November 10, 1960",1960,November,Thursday,"Montana Department of Fish, Wildlife and Parks, MT",Montana,0
Police Officer,Warren V. Eckert,Motorcycle crash,"Wednesday, November 16, 1960",1960,November,Wednesday,"Baltimore City Police Department, MD",Maryland,0
Detective,William R. Johnson,Automobile crash,"Friday, November 18, 1960",1960,November,Friday,"Chicago Police Department, IL",Illinois,0
Night Policeman,Orville E. Rosenstengel,Gunfire,"Saturday, November 19, 1960",1960,November,Saturday,"Vandalia Police Department, MO",Missouri,0
Police Officer,"William Henry Powell, Jr.",Gunfire,"Saturday, November 19, 1960",1960,November,Saturday,"Philadelphia Police Department, PA",Pennsylvania,0
